dispatch alpha/dashboard | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_dashboard
dispatch alpha/jobs | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_job_cards
dispatch alpha/customers | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_customers
dispatch alpha/vehicles | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_vehicles
dispatch alpha/appointments | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_appointments
dispatch alpha/invoices | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_invoices
dispatch alpha/inventory | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_item_master
dispatch alpha/services | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_services
dispatch alpha/cashier | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_cashier
dispatch alpha/users | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_users
dispatch alpha/categories | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_categories
dispatch alpha/reports | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_reports
dispatch alpha/jobs/board | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_live_job_board
dispatch alpha/vehicles | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_vehicles
dispatch beta/vehicles | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_vehicles
dispatch alpha/jobs/4 | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_job_cards
dispatch alpha/customers/6 | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_customers
dispatch alpha/impersonate/8CsWPe9e9gTu69IS09WRbydMpI1q6ahuEHLzlCx4As8QhKNM4zdLlrDVMawlu02g | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Routing\Middleware\SubstituteBindings
dispatch alpha/dashboard | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Auth\Middleware\Authenticate,Illuminate\Routing\Middleware\SubstituteBindings,App\Http\Middleware\PermissionMiddleware:view_dashboard
dispatch alpha/impersonate/9amiNllXgpLIShE7lhcSE4CpASHUNRbLHqhCPN0Q9u8YmLCiiuDW2kTlKjuQjAdX | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Routing\Middleware\SubstituteBindings
dispatch alpha/impersonate/9amiNllXgpLIShE7lhcSE4CpASHUNRbLHqhCPN0Q9u8YmLCiiuDW2kTlKjuQjAdX | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Routing\Middleware\SubstituteBindings
dispatch beta/impersonate/PhErn6VxVOWLgx5C0ziSDwodhnsOdcf92lvzL1F63E9TUkxBVu4HXwu3E5Cc3haE | Illuminate\Cookie\Middleware\EncryptCookies,Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse,Illuminate\Session\Middleware\StartSession,Illuminate\View\Middleware\ShareErrorsFromSession,Illuminate\Foundation\Http\Middleware\ValidateCsrfToken,App\Http\Middleware\IdentifyTenant,Illuminate\Routing\Middleware\SubstituteBindings
